Date,EUR,JPY,GBP,CNY,BTC
2016-09-18,0.89595,102.332701,0.768423,6.672292,0.001642464136
2016-09-19,0.8944,101.9253,0.766803,6.668868,0.001643435879
2016-09-20,0.89665,101.6913,0.770028,6.673789,0.001644899168
2016-09-21,0.8936,100.6285,0.767393,6.670689,0.001677866425
2016-09-22,0.89205,100.9217,0.76432,6.665944,0.001680873409
2016-09-23,0.89055,100.918701,0.771235,6.670203,0.001661702331
2016-09-24,0.89055,100.997801,0.771235,6.670311,0.001662855955
2016-09-25,0.88965,100.9314,0.770418,6.66523,0.001668150487
2016-09-26,0.88885,100.4924,0.771038,6.668292,0.001647558286
2016-09-27,0.8914,100.3852,0.7683,6.668854,0.001653760445
2016-09-28,0.8908,100.8564,0.766745,6.673313,0.001657093362
2016-09-29,0.89125,101.072699,0.771255,6.667975,0.00165354168
2016-09-30,0.889389,101.314,0.77058,6.669021,0.001644047316
2016-10-01,0.8897,101.2998,0.77056,6.669864,0.001628926344
2016-10-02,0.89,101.419,0.773478,6.657078,0.001638464595
2016-10-03,0.8917,101.703201,0.777895,6.671042,0.001633209552
2016-10-04,0.89215,102.584999,0.7854,6.669909,0.001641076001
2016-10-05,0.89195,103.237501,0.784053,6.671121,0.001637089909
2016-10-06,0.8977,103.756201,0.808183,6.671442,0.00163678176
2016-10-07,0.89265,103.0811,0.804165,6.671548,0.001621793532
2016-10-08,0.89265,103.0575,0.804165,6.671549,0.001622165266
2016-10-09,0.89315,102.9937,0.804238,6.673553,0.001626624591
2016-10-10,0.89745,103.4901,0.809413,6.700272,0.001621879018
2016-10-11,0.90385,103.363799,0.815488,6.71667,0.001561749628
2016-10-12,0.90785,104.1843,0.820245,6.717927,0.001573307145
2016-10-13,0.90475,103.692401,0.81687,6.725505,0.001574489987
2016-10-14,0.91135,104.112001,0.82041,6.727443,0.001566756437
2016-10-15,0.91135,104.152801,0.82041,6.727637,0.001569729339
2016-10-16,0.9116,104.1333,0.821823,6.729308,0.001563471062
2016-10-17,0.9086,103.9401,0.819635,6.735186,0.001569827908
2016-10-18,0.9107,103.876599,0.812988,6.739771,0.001573861311
2016-10-19,0.91115,103.4827,0.813918,6.738077,0.001591181545
2016-10-20,0.91495,104.002101,0.815918,6.743877,0.001590555156
2016-10-21,0.9186,103.785301,0.81745,6.759616,0.001587339381
2016-10-22,0.9186,103.825401,0.81745,6.763363,0.001533504074
2016-10-23,0.91905,103.9211,0.818563,6.766041,0.001539474039
2016-10-24,0.91955,104.226699,0.818315,6.772514,0.00154140491
2016-10-25,0.9184,104.103199,0.821175,6.778224,0.001531897945
2016-10-26,0.91655,104.5573,0.816918,6.772034,0.001480675336
2016-10-27,0.91755,105.0569,0.822038,6.781475,0.001458640256
2016-10-28,0.91005,104.7323,0.820395,6.776896,0.001453908273
2016-10-29,0.91005,104.8146,0.820395,6.777443,0.001403974202
2016-10-30,0.91055,104.656799,0.819728,6.773434,0.001432526224
2016-10-31,0.9114,104.8254,0.817208,6.77677,0.001432952168
2016-11-01,0.9043,104.218101,0.81692,6.768246,0.001371457474
2016-11-02,0.90115,103.6538,0.812755,6.759529,0.001360722315
2016-11-03,0.90065,103.116699,0.802233,6.764454,0.001453736648
2016-11-04,0.89725,103.099399,0.798998,6.756386,0.001423621699
2016-11-05,0.89725,103.103599,0.798998,6.756066,0.001420230012
2016-11-06,0.90155,103.954401,0.801823,6.762984,0.001403272431
2016-11-07,0.90535,104.253601,0.806898,6.7727,0.001419547164
2016-11-08,0.9078,104.918099,0.808243,6.785982,0.00140907824
2016-11-09,0.9159,105.5949,0.805643,6.782134,0.001386606765
2016-11-10,0.9184,106.314501,0.796925,6.796298,0.001401777454
2016-11-11,0.92105,106.5436,0.793608,6.809001,0.001396209292
2016-11-12,0.92105,106.6433,0.793608,6.812115,0.0014214338
2016-11-13,0.9237,106.8369,0.795355,6.813347,0.001423827033
2016-11-14,0.93045,107.9278,0.799135,6.84336,0.001417251035
2016-11-15,0.9324,108.832,0.80335,6.856064,0.001403722926
2016-11-16,0.9338,108.669,0.80334,6.838743,0.001348210749
2016-11-17,0.941,110.045201,0.80561,6.874984,0.001356479393
2016-11-18,0.94435,110.5671,0.80982,6.879725,0.001334777028
2016-11-19,0.94435,110.8167,0.80982,6.887336,0.001332489423
2016-11-20,0.94495,111.0243,0.81123,6.888847,0.001373013421
2016-11-21,0.94045,110.766599,0.800478,6.890601,0.001357561277
2016-11-22,0.94045,111.001099,0.805058,6.890176,0.0013365321
2016-11-23,0.94835,112.2781,0.804715,6.913881,0.001348465271
2016-11-24,0.94695,112.901499,0.803125,6.916908,0.001356916543
2016-11-25,0.9439,113.177099,0.8011,6.918797,0.00135447433
2016-11-26,0.9439,113.223899,0.8011,6.91981,0.001364791784
2016-11-27,0.9434,112.9563,0.802078,6.91926,0.001372975719
2016-11-28,0.94175,112.08,0.805655,6.910783,0.00136655184
2016-11-29,0.939,112.444401,0.800468,6.89948,0.00136631154
2016-11-30,0.94395,114.1177,0.799233,6.889449,0.001346978223
2016-12-01,0.93775,113.831701,0.794155,6.885607,0.001328056522
2016-12-02,0.9375,113.6649,0.78546,6.88479,0.00129634851
2016-12-03,0.9375,113.5755,0.78546,6.883852,0.001307292075
2016-12-04,0.94835,113.3755,0.790608,6.879803,0.001305120968
2016-12-05,0.9294,113.796399,0.785918,6.881663,0.0013302914
2016-12-06,0.93275,113.974799,0.788863,6.900709,0.001318274247
2016-12-07,0.9296,113.731199,0.792193,6.917776,0.001308876882
2016-12-08,0.94175,114.070099,0.794853,6.882431,0.001304052997
2016-12-09,0.94675,115.0069,0.795213,6.901008,0.001298743466
2016-12-10,0.94675,115.1904,0.795213,6.904076,0.001293543922
2016-12-11,0.94845,115.4592,0.79427,6.904277,0.001301583376
2016-12-12,0.9397,114.9818,0.788803,6.906942,0.001284643132
2016-12-13,0.94085,115.2445,0.789933,6.902365,0.00128580352
2016-12-14,0.95115,116.7636,0.79809,6.903414,0.001288180378
2016-12-15,0.9597,117.6408,0.804893,6.934145,0.001290039604
2016-12-16,0.9585,117.939399,0.801698,6.952717,0.001280333829
2016-12-17,0.956805,117.9245,0.800673,6.9592,0.001268230818
2016-12-18,0.957231,117.808,0.800679,6.9593,0.001268222776
2016-12-19,0.96127,117.0175,0.8073,6.954,0.001265784651
2016-12-20,0.96239,117.825,0.808734,6.9508,0.001250035157
2016-12-21,0.959058,117.6175,0.809527,6.9424,0.001206938691
2016-12-22,0.958072,117.55153946,0.8139,6.9503,0.001163859825
2016-12-23,0.956297,117.315,0.814478,6.9463,0.001092566256
2016-12-24,0.95676,117.326,0.8144,6.9462,0.001119888172
2016-12-25,0.956613,117.3205,0.813818,6.9463,0.001117516592
2016-12-26,0.956544,117.19571429,0.814634,6.9457,0.001109502333
2016-12-27,0.955966,117.4945,0.81471,6.9525,0.001076036737
2016-12-28,0.960161,117.087625,0.81829,6.9591,0.00102312906
2016-12-29,0.946388,116.31646756,0.814154,6.9553,0.001030731252
2016-12-30,0.950209,116.89074712,0.810575,6.9448,0.001040860217
2016-12-31,0.95034,116.9695,0.81019,6.9447,0.001035061358
2017-01-01,0.949713,116.82243628,0.809782,6.9447,0.001002604265
2017-01-02,0.956246,117.46016667,0.814263,6.945,0.000981356677
2017-01-03,0.959901,117.641,0.816721,6.961,0.000966963686
2017-01-04,0.952656,117.136,0.811425,6.9351,0.000884202615
2017-01-05,0.942996,115.3357,0.805043,6.8889,0.000998714156
